,logu,T,Tstd
0,-3.0,485.80512498400003,600.1863284360429
1,-2.95,469.204189037,556.1504200953544
2,-2.9,452.96138389699996,514.9189360749583
3,-2.85,437.08464314599996,476.3504408556191
4,-2.8,421.58069605400004,440.3100785396867
5,-2.75,406.45486562800005,406.66901112017797
6,-2.7,391.71086057,375.30387814671377
7,-2.65,377.350612035,346.0962989681338
8,-2.6,363.374173361,318.93239643735006
9,-2.55,349.779686544,293.70238284204936
10,-2.5,336.563432151,270.3001769636106
11,-2.45,323.719999695,248.62308836871688
12,-2.4,311.242505415,228.57157106503644
13,-2.35,299.122895998,210.04904061962762
14,-2.3,287.35224612900004,192.9617695923019
15,-2.25,275.921075939,177.21885589763394
16,-2.2,264.8196249,162.7322493786013
17,-2.15,254.038109402,149.41685467114462
18,-2.1,243.56694910299998,137.1906701329896
19,-2.05,233.39698217,125.97496853602829
20,-2.0,223.519668688,115.69449655467194
21,-1.95,213.927294843,106.27766454549852
22,-1.9,204.613124938,97.65671392042042
23,-1.85,195.571487325,89.76784798507208
24,-1.7999999999999998,186.797815702,82.55129019794236
25,-1.75,178.28857605299999,75.95129278382747
26,-1.7,170.041158753,69.91607535176978
27,-1.65,162.053707252,64.39772504424796
28,-1.6,154.32493651,59.35203171499109
29,-1.5499999999999998,146.853919611,54.73831771666125
30,-1.5,139.63988359,50.51921236605703
31,-1.45,132.682025718,46.66044802437672
32,-1.4,125.979329464,43.13062360784964
33,-1.35,119.530416531,39.90099381627826
34,-1.2999999999999998,113.333410912,36.94525263385985
35,-1.25,107.38585625299999,34.23933575160397
36,-1.2,101.68463869,31.76123279700029
37,-1.15,96.22594904610001,29.49082333378601
38,-1.1,91.0052720172,27.409706806135897
39,-1.0499999999999998,86.0173710423,25.501071991520533
40,-1.0,81.256322868,23.74955020326469
