,N,T,Tstd
0,10,55.9352114284,64.0330188258527
1,12,67.00918162399999,69.60318225476293
2,15,79.6337051655,75.28713083692179
3,19,93.77399925299999,81.00408368362756
4,25,109.332468672,86.66970541945636
5,31,126.163472037,92.20225483694463
6,39,144.094934228,97.52774970421127
7,50,162.95012965,102.58333032208614
8,63,182.564262087,107.31886614970007
9,79,202.793834386,111.69732992454905
10,100,223.519668688,115.69449655466944
11,125,244.645710711,119.29827416178041
12,158,266.09577547,122.50777594301226
13,199,287.80968639900004,125.3321120256843
14,251,309.73969103400003,127.78887910006488
15,316,331.847491566,129.90240040744735
16,398,354.10198522,131.70179311350142
17,501,376.477610562,133.21902944139663
18,630,398.953164226,134.48714004594316
19,794,421.51097549900004,135.53868947577706
20,1000,444.13627983099997,136.40459193003588
21,1258,466.81677110000004,137.11329719639087
22,1584,489.542219134,137.69031729075633
23,1995,512.304151791,138.1580381912475
24,2511,535.095601651,138.53575495308056
25,3162,557.9108550430001,138.83983605738138
26,3981,580.745256218,139.08401169588046
27,5011,603.595025015,139.27967269266512
28,6309,626.457102876,139.43619031244233
29,7943,649.329025824,139.56122199303786
30,10000,672.208812224,139.6609900521892
31,12589,695.0948725610001,139.74052790382024
32,15848,717.9859342489999,139.80389224211658
33,19952,740.880980005,139.85434307872342
34,25118,763.779197652,139.89449414951088
35,31622,786.679939825,139.926421866517
36,39810,809.582689493,139.95182773040622
37,50118,832.48703671,139.97202980685918
38,63095,855.3926527010001,139.988092392288
39,79432,878.299277868,140.00086223695442
40,100000,901.206705123,140.0110136098993
