,N,T,Tstd
0,10,64.7378881402,72.12959281537198
1,12,80.63577578489999,80.2688601480968
2,15,100.407302969,89.18069235849278
3,19,124.814790105,98.84963676037458
4,25,154.581380963,109.20288024773629
5,31,190.230345204,120.09013102102541
6,39,231.875815093,131.2745102072559
7,50,279.043511781,142.448096113469
8,63,330.642960031,153.27802401465294
9,79,385.16146209,163.46933044315603
10,100,441.005422059,172.8154748211847
11,125,496.81353191,181.21515431761338
12,158,551.6150301609999,188.65737726610732
13,199,604.830968366,195.1919694893007
14,251,656.189685327,200.9012159132517
15,316,705.6246844289999,205.8794650918444
16,398,753.189950123,210.22099843850188
17,501,799.00127659,214.01374805575932
18,630,843.1998741010001,217.3366727397464
19,794,885.931653296,220.2590180326439
20,1000,927.336416596,222.84060571745357
21,1258,967.542891315,225.13256169668173
22,1584,1006.66700197,227.17822192066737
23,1995,1044.81187675,229.01411714735764
24,2511,1082.06869326,230.6709028884455
25,3162,1118.5178305,232.17422420443543
26,3981,1154.23013762,233.5455034307409
27,5011,1189.26812801,234.8026351525509
28,6309,1223.68709386,235.96056851738803
29,7943,1257.53605973,237.0318188125689
30,10000,1290.85863556,238.026893319008
31,12589,1323.69374303,238.9546307446749
32,15848,1356.07623008,239.8225110645396
33,19952,1388.03741307,240.63688176555786
34,25118,1419.60552215,241.4031595736305
35,31622,1450.80608176,242.12599734786616
36,39810,1481.66225309,242.80939326654408
37,50118,1512.19511405,243.45682816720227
38,63095,1542.42389082,244.0713226118063
39,79432,1572.36618466,244.65553638705276
40,100000,1602.03813281,245.2118055168184
