,N,T,Tstd
0,10,71.681,140.81689024636876
1,12,80.1249,137.40143090707434
2,15,98.67399999999999,158.11462597588738
3,19,113.8326,166.9179215557564
4,25,138.8508,186.66869598185437
5,31,162.5294,201.5328352502599
6,39,193.0332,214.67171004133078
7,50,220.7762,225.09742512663237
8,63,256.6924,237.99451153543882
9,79,292.0365,247.60576776273396
10,100,331.8459,258.2753046005108
11,125,372.4821,263.60840088755106
12,158,420.4425,274.24110215640763
13,199,465.7839,273.7471697608675
14,251,516.2369,270.48279773911185
15,316,565.4058,273.595327750122
16,398,616.4314,264.7545912602826
17,501,668.7995,264.67163355205014
18,630,723.2947,260.3408550112502
19,794,771.3202,253.31821506510025
20,1000,824.8961,242.77632491489757
21,1258,867.2018,238.95324844465756
22,1584,911.6406,227.11553750982742
23,1995,956.1701,225.27253125342145
24,2511,1000.0846,219.07763679557618
25,3162,1038.0859,211.0715931690816
26,3981,1082.2473,207.75504508575924
27,5011,1118.4651,203.03404804233315
28,6309,1156.6941,198.35094765347984
29,7943,1190.0430000000001,191.11305703969342
30,10000,1227.3622,188.95317023329915
31,12589,1263.1116,186.58154360140043
32,15848,1300.383,182.0238307983266
33,19952,1335.1852,182.18319838211556
34,25118,1365.46,180.06846604901853
35,31622,1401.3248,175.1220690800217
36,39810,1433.1555,173.55576706113231
37,50118,1466.6906,175.10254813073448
38,63095,1496.3116,167.53938059407102
39,79432,1527.9994,168.55142763565013
40,100000,1556.1585,165.461608030755
